pmid,gene,year,title
41121737,PAX6,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,TBR2,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,SOX2,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,HOPX,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,MTOR,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,TSC2,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,LIS1,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,DCX,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41121737,SATB2,2025,Fundamental Neurochemistry Review: Sphingolipids and Ceramides in Brain Development.
41107253,PAX6,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,TBR2,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,SOX2,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,HOPX,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,MTOR,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,TSC2,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,LIS1,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,DCX,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41107253,SATB2,2025,Cortical gyrification predicts initial treatment response in adults with ADHD.
41100780,PAX6,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,TBR2,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,SOX2,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,HOPX,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,MTOR,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
41100780,TSC2,2025,Multiple Sclerosis Relapse Treatment During Pregnancy and Offspring Functional and Structural Neurod
